frame,dx,dy,scale,angle,cum_x,cum_y,cum_scale,cum_angle,inliers
132,-0.293717,-0.180754,1.000328,-0.012445,-3.983579,-3.836922,1.001891,0.162145,184
133,-0.003467,-0.008230,1.000002,0.013563,-3.987046,-3.845152,1.001893,0.175708,221
134,-0.019735,0.123036,1.000070,-0.001214,-4.006782,-3.722116,1.001963,0.174494,202
135,0.022786,0.057735,0.999853,-0.001661,-3.983995,-3.664381,1.001816,0.172833,223
136,-0.885389,0.684535,1.000664,-0.042172,-4.869384,-2.979846,1.002481,0.130661,176
137,-0.212436,0.277669,0.999935,-0.044719,-5.081820,-2.702176,1.002416,0.085942,171
138,-0.065189,0.032164,0.999891,-0.005713,-5.147009,-2.670013,1.002307,0.080229,202
139,-0.152034,-0.244024,1.000253,-0.003739,-5.299043,-2.914036,1.002561,0.076490,198
140,0.183974,0.178205,0.999671,-0.025053,-5.115070,-2.735832,1.002231,0.051437,161
141,-0.256431,0.057017,0.999842,-0.024243,-5.371501,-2.678815,1.002072,0.027194,170
142,0.400445,0.625214,0.999610,-0.008755,-4.971056,-2.053601,1.001681,0.018439,133
143,-0.046874,-0.151896,0.999820,-0.003564,-5.017930,-2.205497,1.001502,0.014875,213
144,-0.032181,-0.139941,1.000257,0.006495,-5.050110,-2.345438,1.001759,0.021370,183
145,0.031467,-0.120278,0.999880,-0.000028,-5.018644,-2.465716,1.001639,0.021342,224
146,0.021737,-0.125895,0.999963,0.005998,-4.996906,-2.591611,1.001602,0.027340,215
147,-0.111641,0.072818,1.000245,-0.022145,-5.108548,-2.518793,1.001847,0.005196,220
148,-0.082225,-0.053229,1.000219,0.003812,-5.190773,-2.572022,1.002067,0.009008,230
149,-0.205754,-0.088640,1.000212,0.009038,-5.396527,-2.660662,1.002279,0.018046,222
150,-0.140376,0.034166,1.000123,0.002327,-5.536903,-2.626496,1.002402,0.020373,217
151,-0.138167,-0.091899,1.000164,-0.003997,-5.675070,-2.718395,1.002567,0.016376,230
152,0.166008,0.230889,0.999842,-0.008683,-5.509062,-2.487506,1.002409,0.007693,193
153,0.211184,-0.097345,0.999731,0.012966,-5.297878,-2.584851,1.002139,0.020659,218
154,-0.008526,0.021803,1.000039,-0.013240,-5.306404,-2.563048,1.002178,0.007418,128
155,0.000675,-0.000635,0.999997,0.000167,-5.305729,-2.563683,1.002175,0.007586,400
156,-0.061916,-0.010996,1.000065,0.009218,-5.367645,-2.574678,1.002240,0.016803,186
157,-0.081337,0.286394,0.999987,-0.004376,-5.448981,-2.288284,1.002226,0.012428,186
158,-0.046049,0.068599,0.999905,-0.005275,-5.495030,-2.219686,1.002131,0.007153,148
159,-0.147196,-0.145754,0.999968,0.018742,-5.642226,-2.365439,1.002098,0.025895,181
160,-0.050984,0.177176,0.999916,-0.002448,-5.693210,-2.188264,1.002014,0.023447,153
161,-0.041844,0.100240,0.999954,-0.004775,-5.735054,-2.088023,1.001968,0.018672,147
162,-0.210340,-0.086714,1.000273,0.001625,-5.945394,-2.174737,1.002241,0.020297,135
163,-0.127839,0.088522,1.000252,0.003462,-6.073233,-2.086215,1.002494,0.023759,142
164,-0.126205,0.128649,1.000005,-0.000369,-6.199438,-1.957566,1.002499,0.023390,154
165,-0.126612,0.314544,0.999935,-0.019769,-6.326050,-1.643022,1.002433,0.003621,141
166,0.039637,-0.155086,1.000012,0.022430,-6.286413,-1.798109,1.002446,0.026051,146
167,0.019929,0.088877,0.999872,0.016738,-6.266484,-1.709232,1.002317,0.042789,133
168,0.060450,-0.111341,1.000006,0.015399,-6.206034,-1.820573,1.002323,0.058187,159
169,0.147549,0.068073,0.999841,0.010686,-6.058485,-1.752500,1.002164,0.068874,168
170,-0.086165,-0.361248,1.000224,0.011065,-6.144651,-2.113748,1.002388,0.079938,187
171,-0.225245,0.213918,1.000060,-0.006776,-6.369896,-1.899830,1.002448,0.073162,192
172,0.056866,-0.087273,1.000001,0.019471,-6.313030,-1.987103,1.002449,0.092634,174
173,0.022508,-0.051634,1.000102,0.006838,-6.290521,-2.038736,1.002551,0.099472,157
174,0.060345,-0.402987,1.000122,0.015355,-6.230176,-2.441724,1.002673,0.114826,155
175,-0.004804,0.227164,1.000116,-0.007401,-6.234980,-2.214560,1.002790,0.107425,195
176,0.252277,-0.242487,1.000322,0.067262,-5.982703,-2.457047,1.003112,0.174687,154
177,0.026651,0.044416,0.999953,0.000794,-5.956052,-2.412631,1.003065,0.175480,192
178,0.075360,0.096390,0.999951,0.013868,-5.880692,-2.316242,1.003016,0.189349,209
179,0.191651,0.293767,0.999599,-0.001819,-5.689040,-2.022475,1.002614,0.187529,186
180,-0.307214,0.293681,0.999867,-0.044398,-5.996254,-1.728794,1.002480,0.143131,162
181,-0.159943,0.054463,1.000068,0.014500,-6.156197,-1.674331,1.002548,0.157631,186
182,-0.121752,-0.063428,1.000230,0.005215,-6.277950,-1.737759,1.002778,0.162847,168
183,0.438586,-0.163708,1.000540,0.045792,-5.839363,-1.901467,1.003320,0.208638,146
184,-0.001857,-0.094860,1.000019,0.020425,-5.841220,-1.996327,1.003339,0.229063,128
185,0.182956,0.345537,0.999801,0.018927,-5.658264,-1.650790,1.003139,0.247990,145
186,0.039454,0.284419,0.999976,-0.000042,-5.618809,-1.366371,1.003115,0.247948,129
187,0.063688,0.105431,0.999956,0.000423,-5.555122,-1.260940,1.003071,0.248372,137
188,0.031852,-0.152740,0.999852,0.003678,-5.523270,-1.413680,1.002922,0.252050,119
189,0.205955,0.405485,1.000127,0.055003,-5.317315,-1.008195,1.003050,0.307052,97
190,-0.007073,-0.004468,1.000003,-0.000155,-5.324388,-1.012663,1.003053,0.306898,400
191,-0.214376,0.681356,0.999306,-0.055677,-5.538764,-0.331307,1.002356,0.251221,51
192,-0.142048,0.043262,1.000009,-0.000961,-5.680812,-0.288045,1.002365,0.250260,161
193,-0.157492,0.399227,1.000316,-0.006251,-5.838304,0.111182,1.002682,0.244009,120
194,-0.405556,-0.002208,1.000576,-0.027229,-6.243860,0.108975,1.003260,0.216781,106
195,-0.000288,-0.000990,0.999999,0.000028,-6.244148,0.107984,1.003258,0.216808,400
196,-0.228874,-0.139463,1.000168,-0.007843,-6.473022,-0.031478,1.003427,0.208965,47
197,-0.237295,0.209843,1.000044,-0.011733,-6.710316,0.178365,1.003471,0.197232,97
198,0.074541,0.154989,1.000143,0.021716,-6.635776,0.333354,1.003614,0.218949,94
199,-0.220232,0.148426,1.000066,-0.009475,-6.856008,0.481779,1.003680,0.209473,121
200,-0.039709,0.257644,0.999935,-0.020845,-6.895717,0.739423,1.003615,0.188628,116
201,-0.132121,0.120749,1.000040,-0.011021,-7.027838,0.860172,1.003656,0.177607,125
202,-0.014461,-0.191466,1.000046,0.012468,-7.042299,0.668706,1.003702,0.190076,142
203,-0.069440,0.085568,1.000188,0.012027,-7.111739,0.754274,1.003891,0.202103,126
204,0.011566,-0.152128,0.999818,0.005306,-7.100174,0.602146,1.003708,0.207408,121
205,0.168281,0.038193,0.999901,0.029326,-6.931893,0.640339,1.003609,0.236734,186
206,0.276760,-0.088934,0.999879,0.013607,-6.655133,0.551405,1.003488,0.250341,154
207,0.200850,-0.772739,0.999822,0.024639,-6.454283,-0.221334,1.003310,0.274980,145
208,0.294062,0.000832,0.999906,0.023256,-6.160221,-0.220502,1.003215,0.298236,173
209,0.217485,0.164500,1.000073,0.006373,-5.942735,-0.056002,1.003289,0.304608,134
210,-0.006391,0.357612,0.999791,-0.028448,-5.949126,0.301609,1.003079,0.276161,132
211,-0.041742,0.226731,1.000108,-0.012310,-5.990868,0.528340,1.003188,0.263850,117
212,0.386968,0.484758,0.999458,-0.011758,-5.603900,1.013098,1.002644,0.252092,155
213,-0.002228,-0.002324,1.000001,0.000062,-5.606128,1.010774,1.002645,0.252155,305
214,-0.170113,0.052389,1.000081,-0.003366,-5.776241,1.063163,1.002726,0.248788,143
215,0.140604,0.126227,0.999974,0.002211,-5.635637,1.189390,1.002701,0.251000,183
216,0.016317,-0.027676,1.000049,0.009267,-5.619321,1.161713,1.002749,0.260267,183
217,0.109101,0.045661,0.999947,-0.003799,-5.510220,1.207374,1.002697,0.256468,176
218,0.382202,-0.010828,0.999673,0.050806,-5.128018,1.196546,1.002369,0.307275,234
219,0.396673,0.280080,0.999517,0.013815,-4.731344,1.476627,1.001885,0.321089,175
220,0.075219,-0.029729,1.000073,0.007438,-4.656125,1.446898,1.001958,0.328527,239
221,-0.021054,0.270023,0.999972,-0.002906,-4.677179,1.716921,1.001930,0.325621,225
222,-0.196309,-0.097542,0.999960,0.013796,-4.873488,1.619379,1.001889,0.339417,209
223,0.018680,0.061126,1.000023,-0.000904,-4.854808,1.680505,1.001913,0.338513,234
224,-0.304835,0.101840,1.000214,0.000513,-5.159643,1.782345,1.002128,0.339026,270
225,-0.315500,0.391594,0.999787,-0.026443,-5.475143,2.173939,1.001914,0.312583,246
226,0.405204,0.126448,0.999468,0.004644,-5.069939,2.300386,1.001381,0.317226,254
227,0.497498,0.046029,0.999545,0.021609,-4.572441,2.346416,1.000925,0.338835,255
228,-0.057012,0.339556,0.999730,-0.028702,-4.629453,2.685971,1.000655,0.310133,262
229,0.306510,-0.307752,0.999997,0.027410,-4.322943,2.378220,1.000652,0.337543,239
230,-0.214341,-0.238071,1.000186,-0.002068,-4.537284,2.140149,1.000838,0.335474,252
231,-0.159751,0.399824,0.999932,-0.027982,-4.697035,2.539973,1.000770,0.307492,257
232,0.381501,-0.025060,0.999865,0.015658,-4.315534,2.514913,1.000635,0.323150,249
233,0.341168,0.703777,0.999664,-0.006414,-3.974366,3.218690,1.000299,0.316736,201
234,-0.158408,0.137680,0.999868,0.001471,-4.132774,3.356371,1.000167,0.318208,332
235,-0.036264,-0.182433,1.000087,0.004224,-4.169038,3.173938,1.000254,0.322432,301
236,0.142089,-0.040826,0.999796,0.002458,-4.026950,3.133112,1.000050,0.324890,236
237,-0.186859,-0.153443,1.000386,-0.020630,-4.213809,2.979669,1.000437,0.304260,223
238,-0.073825,-0.002973,0.999941,0.000261,-4.287633,2.976696,1.000377,0.304521,285
239,-0.121517,-0.305797,1.000505,0.005195,-4.409151,2.670899,1.000882,0.309716,259
240,-0.089787,0.712001,0.999891,-0.028232,-4.498938,3.382900,1.000773,0.281484,233
241,-0.164670,-0.255068,1.000165,0.014204,-4.663607,3.127831,1.000938,0.295689,211
242,0.337472,-0.287557,1.000050,0.015698,-4.326136,2.840274,1.000989,0.311386,235
243,0.057821,-0.059667,0.999839,0.026334,-4.268315,2.780607,1.000827,0.337720,250
244,-0.147412,0.007899,1.000062,0.006403,-4.415726,2.788506,1.000890,0.344123,193
245,0.161038,0.337373,0.999470,-0.002746,-4.254689,3.125878,1.000360,0.341378,180
246,-0.128674,-0.223346,1.000440,0.006844,-4.383363,2.902532,1.000800,0.348222,152
247,-0.003263,-0.002489,1.000003,0.000042,-4.386626,2.900044,1.000802,0.348264,400
248,-0.631865,-0.132977,1.000538,-0.004746,-5.018491,2.767066,1.001341,0.343518,125
249,0.339579,-0.094605,0.999804,0.026457,-4.678912,2.672462,1.001145,0.369975,152
250,0.210323,0.024093,0.999512,0.015904,-4.468589,2.696555,1.000656,0.385879,82
251,0.033025,0.629892,0.999689,-0.005776,-4.435564,3.326447,1.000345,0.380103,153
252,0.148555,-0.275970,0.999942,0.027449,-4.287009,3.050477,1.000287,0.407552,154
