frame,dx,dy,scale,angle,cum_x,cum_y,cum_scale,cum_angle,inliers
214,-0.263898,0.669375,0.999816,-0.027075,-14.674964,15.152229,0.999892,-0.731735,291
215,-0.921365,0.031420,1.000887,-0.023343,-15.596328,15.183649,1.000778,-0.755079,308
216,-0.538129,0.113167,1.000683,-0.047976,-16.134457,15.296817,1.001462,-0.803055,333
217,-0.080872,-0.193142,0.999988,0.002481,-16.215329,15.103675,1.001450,-0.800573,366
218,0.437839,0.228509,0.999360,0.022199,-15.777490,15.332184,1.000810,-0.778374,387
219,1.170476,0.724866,0.997612,0.033445,-14.607014,16.057049,0.998420,-0.744929,228
220,-0.247096,-0.323848,1.000426,0.004509,-14.854110,15.733201,0.998846,-0.740419,397
221,-0.208259,-0.266553,1.000732,0.006894,-15.062369,15.466649,0.999577,-0.733526,375
222,-0.141713,0.113734,1.000108,0.014339,-15.204082,15.580383,0.999685,-0.719187,376
223,0.137071,-0.331653,1.000243,0.035982,-15.067010,15.248729,0.999927,-0.683206,352
224,0.085914,-0.160129,0.999708,0.026005,-14.981096,15.088600,0.999635,-0.657200,335
225,0.131941,0.306329,0.999943,0.014148,-14.849156,15.394929,0.999578,-0.643053,299
226,0.060432,0.924927,0.999149,-0.036967,-14.788723,16.319856,0.998728,-0.680020,374
227,-0.260601,1.013224,0.999434,-0.093300,-15.049324,17.333080,0.998163,-0.773320,302
228,-0.191271,1.624088,0.999014,-0.107847,-15.240595,18.957168,0.997178,-0.881166,332
229,-0.700174,-0.019666,1.000281,-0.030515,-15.940769,18.937502,0.997458,-0.911682,347
230,0.060150,-0.295920,0.999888,0.037683,-15.880619,18.641582,0.997347,-0.873999,400
231,-0.306418,0.649769,1.000478,-0.067765,-16.187037,19.291351,0.997823,-0.941764,304
232,0.896888,1.546872,0.998240,-0.022449,-15.290148,20.838224,0.996067,-0.964213,304
233,-0.146038,-0.283489,1.000458,0.050005,-15.436186,20.554734,0.996523,-0.914208,296
234,0.048880,-0.027866,0.999993,0.024050,-15.387306,20.526868,0.996516,-0.890158,443
235,-0.569584,-0.304092,1.000543,-0.010886,-15.956890,20.222775,0.997057,-0.901044,393
236,-0.862804,0.169642,1.001061,-0.018722,-16.819694,20.392417,0.998116,-0.919765,348
237,-0.465611,0.544659,1.000112,-0.035229,-17.285305,20.937076,0.998227,-0.954995,421
238,-0.483818,0.416186,1.000237,-0.007301,-17.769123,21.353263,0.998464,-0.962295,345
239,-0.110219,-0.197999,1.000292,0.025516,-17.879342,21.155264,0.998755,-0.936779,375
240,0.598253,-0.313316,0.999720,0.079938,-17.281090,20.841948,0.998476,-0.856842,315
241,0.039259,-0.651744,1.000225,0.041643,-17.241831,20.190204,0.998701,-0.815199,317
242,1.218009,-0.904313,0.999677,0.150402,-16.023822,19.285891,0.998378,-0.664797,267
243,0.145057,0.447858,0.999470,0.008463,-15.878765,19.733749,0.997849,-0.656334,375
244,1.467038,0.208238,0.998608,0.064419,-14.411726,19.941987,0.996459,-0.591915,321
245,1.084771,-0.007232,0.999177,0.039249,-13.326955,19.934755,0.995639,-0.552666,261
246,0.776080,-0.377915,0.999821,0.047979,-12.550875,19.556840,0.995461,-0.504686,205
247,-0.006644,-0.000216,1.000004,-0.000224,-12.557519,19.556623,0.995465,-0.504910,500
248,-0.750293,-1.591000,1.001765,0.109396,-13.307812,17.965623,0.997222,-0.395514,124
249,-0.602828,0.532105,1.000239,-0.075963,-13.910640,18.497729,0.997461,-0.471477,213
250,0.624168,0.560501,0.998880,-0.014859,-13.286472,19.058230,0.996343,-0.486336,140
251,0.198453,0.983287,0.998828,-0.044542,-13.088019,20.041517,0.995175,-0.530878,268
252,-0.313700,0.548462,1.000048,-0.048448,-13.401719,20.589979,0.995223,-0.579325,218
253,-1.845653,0.379722,1.000952,-0.052594,-15.247372,20.969701,0.996170,-0.631919,103
254,-0.254593,0.315584,1.000181,-0.029323,-15.501965,21.285284,0.996351,-0.661242,274
255,0.890764,-0.423992,0.999446,0.103858,-14.611202,20.861292,0.995799,-0.557384,254
256,-1.128561,-0.699884,1.002033,0.001117,-15.739762,20.161408,0.997823,-0.556267,289
257,0.085781,0.054386,1.000109,0.005699,-15.653982,20.215794,0.997932,-0.550568,375
258,0.095738,-0.091917,1.000365,0.030655,-15.558244,20.123877,0.998296,-0.519913,325
259,-0.664408,0.520055,1.000624,-0.035918,-16.222651,20.643932,0.998919,-0.555830,327
260,-0.643628,0.630270,1.000013,-0.062818,-16.866279,21.274203,0.998932,-0.618648,284
261,-0.150186,1.096478,0.999785,-0.041218,-17.016465,22.370680,0.998718,-0.659866,275
262,-0.729911,0.487998,1.000797,-0.041764,-17.746376,22.858679,0.999514,-0.701630,254
263,-1.119992,0.148205,1.001281,-0.060379,-18.866368,23.006883,1.000794,-0.762010,308
264,-0.258924,-0.219383,1.000549,0.011373,-19.125292,22.787501,1.001344,-0.750637,182
265,-0.444920,0.715630,1.000693,-0.054600,-19.570212,23.503130,1.002037,-0.805237,262
266,1.666354,0.653501,0.998570,0.033406,-17.903858,24.156631,1.000605,-0.771831,189
267,0.005248,-0.007014,0.999994,0.000606,-17.898610,24.149617,1.000598,-0.771225,500
268,-0.637555,-1.430177,1.000692,0.159362,-18.536165,22.719440,1.001291,-0.611863,51
269,0.497955,-0.936362,1.000891,0.125089,-18.038210,21.783078,1.002184,-0.486773,182
270,-0.001811,-0.014772,1.000011,0.000903,-18.040022,21.768306,1.002195,-0.485871,500
271,1.414793,2.406302,0.997046,-0.147715,-16.625229,24.174608,0.999234,-0.633586,50
272,0.169877,-1.597978,0.999941,0.159869,-16.455352,22.576630,0.999175,-0.473717,131
273,-0.016149,1.115581,0.999268,-0.058076,-16.471501,23.692211,0.998444,-0.531794,188
274,-0.953946,1.374878,1.000455,-0.116552,-17.425447,25.067089,0.998898,-0.648346,173
275,-0.677368,0.516648,1.000273,-0.060975,-18.102815,25.583737,0.999170,-0.709321,222
276,0.205249,1.365349,0.999527,-0.067242,-17.897565,26.949086,0.998697,-0.776563,224
277,0.276414,0.416991,1.000024,0.019070,-17.621151,27.366077,0.998721,-0.757494,258
278,0.060768,0.173236,1.000514,0.068321,-17.560384,27.539312,0.999234,-0.689172,253
279,-1.254575,1.181680,1.000661,-0.058448,-18.814958,28.720992,0.999895,-0.747620,185
280,171.086060,436.717116,0.544438,-26.464350,152.271102,465.438108,0.544381,-27.211970,5
281,-0.520290,0.142081,0.998699,0.019138,151.750812,465.580189,0.543673,-27.192832,144
282,-19.316943,-0.297485,1.000831,-0.008945,132.433869,465.282704,0.544124,-27.201777,123
283,-23.345520,0.959292,0.998648,-0.051878,109.088349,466.241996,0.543389,-27.253655,83
284,-27.054968,-0.757094,1.004040,-0.054906,82.033381,465.484903,0.545584,-27.308561,101
285,-28.842511,-1.044242,1.000852,0.058365,53.190870,464.440660,0.546049,-27.250197,68
286,-33.939266,0.415591,0.997675,0.067818,19.251605,464.856251,0.544779,-27.182379,66
287,-36.412982,-0.936546,1.000329,0.070326,-17.161377,463.919706,0.544959,-27.112053,78
288,-33.805952,1.169555,0.998453,-0.034416,-50.967330,465.089261,0.544116,-27.146469,82
289,-35.550835,1.840845,0.998581,-0.102733,-86.518165,466.930106,0.543344,-27.249202,61
290,-0.916285,0.066125,1.000024,0.005951,-87.434450,466.996231,0.543357,-27.243251,72
291,0.071520,-0.816670,1.000439,0.058614,-87.362930,466.179561,0.543595,-27.184637,92
